pays	idh	rnbparhab	med	ide	chomage	depensante	accelec	utilinter	durattsco	durmoysco	securite	cemac	cfa	Influence	conflit
Afrique du Sud	0,699	5499,813128	0,9054	0,58891594	27,04	8,1098146	84,4	56,16739447	13,3	10,1	0	0	0	0	0
Algérie	0,754	4117,742853	1,83	0,723258953	12	6,648475	99,61513519	47,69105515	14,3	8	0	0	0	0	0
Angola	0,581	3546,267305	0,21	-6,057209206	7,1	2,97782524	43,0016098	32	11,4	5,1	0	0	0	0	0
Bénin	0,515	1100,519843	0,16	1,581704951	2,44	3,85561779	34,5	13,3	12,6	3,1	3,1	0	1	0	1
Botswana	0,717	6446,842704	0,37	1,497077423	17,46	5,46320154	67,4	41,41379464	12,6	9,3	0	0	0	0	0
Burkina Faso	0,423	667,1021266	0,06	0,018237033	5,13	6,75254452	17,21655655	12	8,5	1,5	1,5	0	1	0	1
Burundi	0,417	285,9621603	0,05	0,009976175	1,48	6,19156298	9,3	2,660748535	11,7	3	0	0	0	0	0
Cabo Verde	0,654	3114,40459	0,79	6,312150566	12,24	5,23696219	91,32674408	57,16214635	12,6	6,1	0	0	0	0	0
Cameroun	0,556	1338,267807	0,09	2,326409859	3,41	4,6902491	60,99382401	23,20297197	12,2	6,3	6,3	1	1	0	1
Comores	0,503	1280,39381	0,17	0,363776536	7,89	7,63108978	79,20166016	8,478170295	11,2	4,8	0	0	0	0	0
Congo, République démocratique du	0,457	484,2124271	0,09	2,756443254	4,26	3,87116143	18,0063858	8,619904916	9,6	6,8	6,8	0	0	0	1
Congo, République du	0,606	1746,605875	0,12	39,76003123	9,75	4,63481785	46,12187958	8,619904916	11,4	6,3	0	1	1	1	0
Côte d'Ivoire	0,492	2092,029027	0,23	1,889997672	3,27	4,40362075	65,6	43,83992085	9	5,2	0	0	1	1	0
Djibouti	0,476	3038,692575	0,22	5,994264816	11,18	3,50192451	60,2	43,83992085	6,2	4,1	0	0	0	0	0
Égypte, République arabe d’	0,696	3471,582433	0,79	3,142826052	11,74	4,63781726	100	55,68140925	13,1	7,2	0	0	0	0	0
Éthiopie	0,463	723,4832088	0,1	4,912707176	2,12	3,97401588	44,3	44,95020425	8,5	2,7	0	0	0	0	0
Gabon	0,702	6719,112022	0,36	8,801569497	19,93	3,11291313	86,27	50,32012015	12,6	8,2	0	1	1	0	0
Gambie	0,46	652,7976227	0,11	4,275240817	9,12	4,43153755	56,2	32	9,2	3,5	0	0	0	0	0
Ghana	0,592	1779,210609	0,18	5,531444088	4,22	4,44871433	79	37,88415262	11,6	7,1	0	0	0	0	0
Guinée	0,459	886,6462776	0,08	5,594271749	4,26	5,47827339	35,4	11,40002077	9,1	2,6	0	0	0	0	0
Guinée équatoriale	0,591	6626,681647	0,4	2,49839686	8,13	3,37653274	66,28614044	23,77999997	9,3	5,5	0	1	1	0	0
Guinée-Bissau	0,455	4084,947023	0,2	1,162158478	2,9	6,09011769	26	18	10,5	3	0	0	0	0	0
Kenya	0,59	1387,221373	0,2	1,603415701	2,69	4,54957525	56,09143066	17,82710021	11,9	6,5	0	0	0	0	0
Lesotho	0,52	7471,284451	0,07	1,827986319	24,13	8,0765782	33,7	39	10,6	6,3	0	0	0	1	0
Libéria	0,435	620	0,04	7,543642601	3	9,61511081	70,33727264	16,3	10	4,7	0	0	0	1	0
Madagascar	0,519	465,8754235	0,18	3,527971606	1,73	6,00363747	24,1	16,3	10,6	6,1	0	0	0	0	0
Malawi	0,477	340	0,02	1,026449753	5,7	9,83034233	12,7	13,78216439	10,8	4,5	0	0	0	0	0
Mali	0,427	763,507	0,14	3,640327931	7,41	3,81961944	34,78	15,6	7,5	2,3	2,3	0	0	0	1
Maroc	0,667	3240,173852	0,73	2,443511303	9,19	5,83767147	100	61,76221201	12,4	5,5	0	0	0	0	0
